,State Name,County,Year,Population,FIPS,State Abbr,_merge
325,Alabama,Colbert County,2005.0,54359,1033,AL,both
326,Alabama,Colbert County,2006.0,54413,1033,AL,both
327,Alabama,Colbert County,2007.0,54486,1033,AL,both
328,Alabama,Colbert County,2008.0,54473,1033,AL,both
329,Alabama,Colbert County,2009.0,54426,1033,AL,both
330,Alabama,Colbert County,2010.0,54524,1033,AL,both
331,Alabama,Colbert County,2011.0,54539,1033,AL,both
332,Alabama,Colbert County,2012.0,54570,1033,AL,both
333,Alabama,Colbert County,2013.0,54529,1033,AL,both
334,Alabama,Colbert County,2014.0,54462,1033,AL,both
335,Alabama,Colbert County,2015.0,54417,1033,AL,both
336,Alabama,Colbert County,2016.0,54497,1033,AL,both
337,Alabama,Colbert County,2017.0,54695,1033,AL,both
338,Alabama,Colbert County,2018.0,55004,1033,AL,both
339,Alabama,Colbert County,2019.0,55241,1033,AL,both
340,Alabama,Conecuh County,2000.0,14035,1035,AL,both
341,Alabama,Conecuh County,2001.0,13940,1035,AL,both
342,Alabama,Conecuh County,2002.0,13793,1035,AL,both
343,Alabama,Conecuh County,2003.0,13585,1035,AL,both
344,Alabama,Conecuh County,2004.0,13430,1035,AL,both
345,Alabama,Conecuh County,2005.0,13421,1035,AL,both
346,Alabama,Conecuh County,2006.0,13603,1035,AL,both
347,Alabama,Conecuh County,2007.0,13441,1035,AL,both
348,Alabama,Conecuh County,2008.0,13388,1035,AL,both
349,Alabama,Conecuh County,2009.0,13274,1035,AL,both
350,Alabama,Conecuh County,2010.0,13236,1035,AL,both
351,Alabama,Conecuh County,2011.0,13195,1035,AL,both
352,Alabama,Conecuh County,2012.0,13046,1035,AL,both
353,Alabama,Conecuh County,2013.0,12912,1035,AL,both
354,Alabama,Conecuh County,2014.0,12677,1035,AL,both
355,Alabama,Conecuh County,2015.0,12678,1035,AL,both
356,Alabama,Conecuh County,2016.0,12500,1035,AL,both
357,Alabama,Conecuh County,2017.0,12431,1035,AL,both
358,Alabama,Conecuh County,2018.0,12292,1035,AL,both
359,Alabama,Conecuh County,2019.0,12067,1035,AL,both
360,Alabama,Coosa County,2000.0,11844,1037,AL,both
361,Alabama,Coosa County,2001.0,11848,1037,AL,both
362,Alabama,Coosa County,2002.0,11740,1037,AL,both
363,Alabama,Coosa County,2003.0,11732,1037,AL,both
364,Alabama,Coosa County,2004.0,11560,1037,AL,both
365,Alabama,Coosa County,2005.0,11467,1037,AL,both
366,Alabama,Coosa County,2006.0,11451,1037,AL,both
367,Alabama,Coosa County,2007.0,11439,1037,AL,both
368,Alabama,Coosa County,2008.0,11493,1037,AL,both
369,Alabama,Coosa County,2009.0,11410,1037,AL,both
370,Alabama,Coosa County,2010.0,11780,1037,AL,both
371,Alabama,Coosa County,2011.0,11486,1037,AL,both
372,Alabama,Coosa County,2012.0,11346,1037,AL,both
373,Alabama,Coosa County,2013.0,11254,1037,AL,both
374,Alabama,Coosa County,2014.0,11037,1037,AL,both
375,Alabama,Coosa County,2015.0,10934,1037,AL,both
376,Alabama,Coosa County,2016.0,10819,1037,AL,both
377,Alabama,Coosa County,2017.0,10724,1037,AL,both
378,Alabama,Coosa County,2018.0,10643,1037,AL,both
379,Alabama,Coosa County,2019.0,10663,1037,AL,both
380,Alabama,Covington County,2000.0,37514,1039,AL,both
381,Alabama,Covington County,2001.0,37069,1039,AL,both
382,Alabama,Covington County,2002.0,36901,1039,AL,both
383,Alabama,Covington County,2003.0,36860,1039,AL,both
384,Alabama,Covington County,2004.0,36806,1039,AL,both
385,Alabama,Covington County,2005.0,37204,1039,AL,both
386,Alabama,Covington County,2006.0,37441,1039,AL,both
387,Alabama,Covington County,2007.0,37631,1039,AL,both
388,Alabama,Covington County,2008.0,37545,1039,AL,both
389,Alabama,Covington County,2009.0,37648,1039,AL,both
390,Alabama,Covington County,2010.0,37809,1039,AL,both
391,Alabama,Covington County,2011.0,38020,1039,AL,both
392,Alabama,Covington County,2012.0,37805,1039,AL,both
393,Alabama,Covington County,2013.0,37814,1039,AL,both
394,Alabama,Covington County,2014.0,37760,1039,AL,both
395,Alabama,Covington County,2015.0,37556,1039,AL,both
396,Alabama,Covington County,2016.0,37382,1039,AL,both
397,Alabama,Covington County,2017.0,37062,1039,AL,both
398,Alabama,Covington County,2018.0,36953,1039,AL,both
399,Alabama,Covington County,2019.0,37049,1039,AL,both
400,Alabama,Crenshaw County,2000.0,13692,1041,AL,both
401,Alabama,Crenshaw County,2001.0,13724,1041,AL,both
402,Alabama,Crenshaw County,2002.0,13635,1041,AL,both
403,Alabama,Crenshaw County,2003.0,13652,1041,AL,both
404,Alabama,Crenshaw County,2004.0,13727,1041,AL,both
405,Alabama,Crenshaw County,2005.0,13699,1041,AL,both
406,Alabama,Crenshaw County,2006.0,13880,1041,AL,both
407,Alabama,Crenshaw County,2007.0,13956,1041,AL,both
408,Alabama,Crenshaw County,2008.0,13922,1041,AL,both
409,Alabama,Crenshaw County,2009.0,14024,1041,AL,both
410,Alabama,Crenshaw County,2010.0,13869,1041,AL,both
411,Alabama,Crenshaw County,2011.0,13894,1041,AL,both
412,Alabama,Crenshaw County,2012.0,13915,1041,AL,both
413,Alabama,Crenshaw County,2013.0,13847,1041,AL,both
414,Alabama,Crenshaw County,2014.0,13851,1041,AL,both
415,Alabama,Crenshaw County,2015.0,13850,1041,AL,both
416,Alabama,Crenshaw County,2016.0,13916,1041,AL,both
417,Alabama,Crenshaw County,2017.0,13858,1041,AL,both
418,Alabama,Crenshaw County,2018.0,13825,1041,AL,both
419,Alabama,Crenshaw County,2019.0,13772,1041,AL,both
420,Alabama,Cullman County,2000.0,77473,1043,AL,both
421,Alabama,Cullman County,2001.0,77415,1043,AL,both
422,Alabama,Cullman County,2002.0,77443,1043,AL,both
423,Alabama,Cullman County,2003.0,77657,1043,AL,both
424,Alabama,Cullman County,2004.0,78131,1043,AL,both
425,Alabama,Cullman County,2005.0,78692,1043,AL,both
426,Alabama,Cullman County,2006.0,79044,1043,AL,both
427,Alabama,Cullman County,2007.0,79576,1043,AL,both
428,Alabama,Cullman County,2008.0,80273,1043,AL,both
